place,url,scrape_time,day_of_week,hour_of_day,popularity_percent_normal,popularity_percent_current
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,20,49,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,21,27,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,22,12,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Monday,23,3,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,1,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,2,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,3,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,4,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,5,4,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,6,33,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,7,65,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,8,47,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,9,26,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,10,27,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,11,31,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,12,35,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,13,43,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,14,55,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,15,68,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,16,79,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,17,84,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,18,82,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,19,74,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,20,61,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,21,47,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,22,32,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Tuesday,23,20,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,,11,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,1,5,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,2,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,3,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,4,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,5,6,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,6,30,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,7,57,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,8,48,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,9,24,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,10,23,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,11,35,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,12,39,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,13,38,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,14,45,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,15,61,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,16,79,29
